Name,Position,Team,Season Pts Avg.,Last Days Pts,Salary,Pts per dollar
Emperor,ADC,TDK,23.2,0,992 ,23.39
Innox,Mid,NME,21.4,18.24,"1,099 ",19.47
Bjergsen,Mid,TSM,21.39,32.91,"1,944 ",11.00
WildTurtle,ADC,TSM,21.04,31.89,"1,504 ",13.99
Altec,ADC,GRV,20.66,26.08,"1,498 ",13.79
Santorin,Jungler,TSM,19.28,36.69,"1,360 ",14.18
Move,Jungler,GRV,18.9,17.24,"1,265 ",14.94
Pobelter,Mid,CLG,18.57,16.69,"1,632 ",11.38
Apollo,ADC,TiP,18.23,13.62,"1,534 ",11.88
FeniX,Mid,TL,17.57,11.87,"1,401 ",12.54
Sneaky,ADC,C9,17.55,32.83,"1,234 ",14.22
Quas,Top,TL,17.29,11.77,"1,292 ",13.38
Trashy,Jungler,NME,17.26,17.22,"1,008 ",17.12
Hauntzer,Top,GRV,16.65,19.61,"1,255 ",13.27
XiaoWeiXiao,Mid,TiP,16.59,10.34,"1,683 ",9.86
Piglet,ADC,TL,16.56,14.23,"1,464 ",11.31
Lustboy,Support,TSM,16.5,30.46,"1,331 ",12.40
IWillDominate,Jungler,TL,16.47,15.39,"1,338 ",12.31
Xmithie,Jungler,CLG,16.35,26.29,"1,293 ",12.65
Aphromoo,Support,CLG,16.17,20.12,"1,417 ",11.41
ZionSpartan,Top,CLG,16.16,25.04,"1,392 ",11.61
Huhi,Mid,CLG,16.03,0,"1,632 ",9.82
Keane,Mid,GRV,15.94,22.42,"1,192 ",13.37
Rush,Jungler,TiP,15.62,12.43,"1,540 ",10.14
Impact,Top,TiP,15.35,7.41,"1,447 ",10.61
Core JJ,ADC,DIG,15.33,3.44,"1,337 ",11.47
Dyrus,Top,TSM,15.17,40.84,"1,174 ",12.92
Shiphtur,Mid,DIG,15.08,3.14,"1,370 ",11.01
PorpoisePops,Jungler,T8,14.68,7.41,"1,137 ",12.91
Bunny FuFuu,Support,GRV,14.67,21.94,"1,114 ",13.17
Xpecial,Support,TL,14.58,16.74,"1,155 ",12.62
Meteos,Jungler,C9,14.09,23.02,"1,091 ",12.91
kez,Jungler,TDK,14,16.19,986 ,14.20
Gamsu,Top,DIG,13.99,4.05,"1,163 ",12.03
Stixxay / Doublelift,ADC,CLG,13.92,0,"1,364 ",10.21
CaliTrlolz,Top,T8,13.77,8.19,"1,103 ",12.48
Seraph (Kina),Top,TDK,13.46,15.13,"1,003 ",13.42
otter,ADC,NME,13.35,24.7,"1,071 ",12.46
Adrian,Support,TiP,13.29,13.02,"1,143 ",11.63
Bodydrop,Support,NME,12.97,10.1,907 ,14.30
Balls,Top,C9,12.75,28.31,"1,059 ",12.04
Smoothie,Support,TDK,12.19,6.31,871 ,14.00
Helios,Jungler,DIG,12.07,-2.18,"1,137 ",10.62
Incarnati0n,Mid,C9,11.88,21.48,"1,118 ",10.63
Azingy,Jungler,DIG,11.73,0,"1,137 ",10.32
Flaresz,Top,NME,11.7,10.88,997 ,11.74
LemonNation,Support,C9,11.46,25.31,961 ,11.93
KiWiKiD,Support,DIG,11.21,-0.31,"1,077 ",10.41
Ninja,Mid,TDK,10.82,0,987 ,10.96
Dodo8,Support,T8,10.68,13.32,975 ,10.95
Nien,ADC,T8,4.1,11.04,"1,185 ",3.46
goldenglue,Mid,T8,2.81,0,"1,091 ",2.58
